,target_name,mass,radius,semi_major_axis,detection_type
0,14 Her b,9.1,,2.845,Radial Velocity
1,14 Her c,6.9,,27.4,Radial Velocity
2,1RXS 1609 b,14.0,1.7,330.0,Imaging
3,2M 0103-55 (AB) b,13.0,,84.0,Imaging
4,2M 0219-39 b,13.9,1.44,156.0,Imaging
5,2M 0441+23 b,7.5,,15.0,Imaging
6,2M 2236+4751 b,12.5,,230.0,Imaging
7,2M J2126-81 b,13.3,,6900.0,Imaging
8,2M0117-34,16.4,,,Imaging
9,2M0437 b,4.0,,118.0,Imaging
10,2M1207 b,5.0,,42.0,Imaging
11,2MASS J0030-1450,10.0,1.36,,Imaging
12,2MASS J00413538-5621127 B,15.0,,8.9,Imaging
13,2MASS J0153-6744,17.0,1.48,,Imaging
14,2MASS J0249-0557 (AB) c,11.6,,,Astrometry
15,2MASS J0326-2102,18.0,1.32,,Imaging
16,2MASS J0342-6817,17.0,1.48,,Imaging
17,2MASS J0459-2853,8.0,1.32,,Imaging
18,2MASS J0642+4101,12.0,1.23,,Imaging
19,2MASS J0718-6415,3.0,1.29,,Imaging
20,2MASS J0809+4434,13.0,1.35,,Imaging
21,2MASS J0951-8023,15.0,1.45,,Imaging
22,2MASS J1119-1137 b,3.7,,,Imaging
23,2MASS J1155-7919 b,10.0,,582.0,Imaging
24,2MASS J1647+5632,18.0,1.22,,Imaging
25,2MASS J2002-0521,13.0,1.36,,Imaging
26,2MASS J2117-2940,7.0,1.38,,Imaging
27,2MASS J2206+3301,8.0,1.3,,Imaging
28,2MASS J2322-6151,18.0,1.5,,Imaging
29,55 Cnc b,0.84,,0.11339,Radial Velocity
30,2MASSW J2208136+292121,10.0,,,Imaging
31,51 Eri b,2.6,1.11,11.1,Imaging
32,51 Peg b,0.47,1.9,0.052,Radial Velocity
33,55 Cnc e,0.02703,0.1737,0.015439,Primary Transit
34,AB Aur b,9.0,,93.9,Imaging
35,AB Dor C b,13.0,,0.58,Imaging
36,AB Pic b,13.5,,275.0,Imaging
37,AU Mic b,0.0368,0.3908,0.0645,Primary Transit
38,AU Mic c,0.0698,0.3131,0.1101,Primary Transit
39,BD+20 594 b,0.07,0.23,0.241,Primary Transit
40,BD+60 1417 b,15.0,1.31,1662.0,Imaging
41,BLG-1691L b,0.046,,2.46,Microlensing
42,CD Cet b,0.01244,,0.0185,Radial Velocity
43,CFBD 1458 B,10.5,,2.6,Imaging
44,CHXR 73 b,12.0,,200.0,Imaging
45,CI Tau b,11.6,,,Radial Velocity
46,COCONUTS-2 b,6.4,1.12,6471.0,Imaging
47,CT Cha b,17.0,2.2,440.0,Imaging
48,CWISEP J144606.62-231717.8,11.0,,,Imaging
49,CWISEP J1935-1546,11.0,,,Imaging
50,CoRoT-1 b,1.03,1.49,0.0254,Primary Transit
51,CoRoT-10 b,2.75,0.97,0.1055,Primary Transit
52,CoRoT-11 b,2.33,1.43,0.04351,Primary Transit
53,CoRoT-12 b,0.917,1.44,0.04016,Primary Transit
54,CoRoT-13 b,1.308,0.885,0.051,Primary Transit
55,CoRoT-14 b,7.6,1.09,0.027,Primary Transit
56,CoRoT-16 b,0.535,1.17,0.0618,Primary Transit
57,CoRoT-17 b,2.43,1.02,0.0461,Primary Transit
58,CoRoT-18 b,3.47,1.31,0.0295,Primary Transit
59,CoRoT-19 b,1.11,1.29,0.0518,Primary Transit
60,CoRoT-2 b,3.31,1.465,0.0281,Primary Transit
61,CoRoT-20 b,4.24,0.84,0.0902,Primary Transit
62,CoRoT-21 b,2.26,1.3,0.0417,Primary Transit
63,CoRoT-22 b,0.06,0.4354,0.092,Primary Transit
64,CoRoT-23 b,2.8,1.08,0.0477,Primary Transit
65,CoRoT-24 b,0.018,0.33,0.056,Primary Transit
66,CoRoT-24 c,0.088,0.44,0.098,Primary Transit
67,CoRoT-25 b,0.27,1.08,0.0578,Primary Transit
68,CoRoT-26 b,0.52,1.26,0.0526,Primary Transit
69,CoRoT-27 b,10.39,1.007,0.0476,Primary Transit
70,CoRoT-29 b,0.85,0.9,0.039,Primary Transit
71,CoRoT-30 b,2.9,1.009,0.0844,Primary Transit
72,CoRoT-31 b,0.84,1.46,0.0586,Primary Transit
73,CoRoT-32 b,0.15,0.57,0.071,Primary Transit
74,CoRoT-35 b,1.1,1.68,0.0429,Primary Transit
75,CoRoT-36 b,0.68,1.41,0.066,Primary Transit
76,CoRoT-4 b,0.72,1.19,0.09,Primary Transit
77,CoRoT-5 b,0.467,1.33,0.04947,Primary Transit
78,CoRoT-6 b,2.96,1.166,0.0855,Primary Transit
79,CoRoT-7 b,0.041812,0.136,0.0172,Primary Transit
80,DANCe J16041234-2127472,10.0,,,Imaging
81,CoRoT-8 b,0.2158,0.5692,0.063,Primary Transit
82,CoRoT-9 b,0.84,0.94,0.407,Primary Transit
83,DANCe J15454024-2422072,8.0,,,Imaging
84,DANCe J15481655-2307430,12.0,,,Imaging
85,DANCe J15582895-2530319,7.0,,,Imaging
86,DANCe J16053908-2403330,11.0,,,Imaging
87,DANCe J16064467-2033428,12.0,,,Imaging
88,DANCe J16064553-2121595,10.0,,,Imaging
89,DANCe J16081299-2304316,4.0,,,Imaging
90,DANCe J16091010-1930376,8.0,,,Imaging
91,DANCe J16134589-2442310,10.0,,,Imaging
92,DANCe J16135217-2443562,10.0,,,Imaging
93,DANCe J16140756-2211524,11.0,,,Imaging
94,DANCe J16255679-2113354,12.0,,,Imaging
95,DANCe J16393029-2454135,11.0,,,Imaging
96,DH Tau b,11.0,,330.0,Imaging
97,DP Leo (AB) b,6.05,,8.19,Pulsar
98,DS Tuc A b,0.0453,0.5085,0.0795,Primary Transit
99,EPIC 201295312 b,0.0379,0.245,,Primary Transit
100,EPIC 205084841 b,0.3883,1.561,0.104,Primary Transit
101,EPIC 211442297 b,0.84,1.115,0.1367,Primary Transit
102,EPIC 211945201 b,0.085,0.514,0.1493,Primary Transit
103,EPIC 212737443 b,0.02907,0.231,0.098,Primary Transit
104,EPIC 212737443 c,0.0303,0.24,0.28,Primary Transit
105,EPIC 246193072 b,0.26,0.774,0.1016,Primary Transit
106,EPIC 246851721 b,3.0,1.051,0.07229,Primary Transit
107,Exomoon Kepler-1708 b-i,0.116,0.2329,0.05,Primary Transit
108,FU Tau b,15.0,,800.0,Imaging
109,Fomalhaut b,0.208,,117.0,Imaging
110,G 196-3 b,15.0,,,Imaging
111,G 9-40 b,0.013,0.17,0.0418,Primary Transit
112,GJ 1132 b,0.00522,0.1035,0.0154,Primary Transit
113,GJ 1214 b,0.02571,0.24463,0.01411,Primary Transit
114,GJ 1252 b,0.00415,0.1053,0.00916,Primary Transit
115,GJ 143 b,0.0714,0.2329,0.1932,Primary Transit
116,GJ 143 c,0.01164,0.07958,0.0695,Primary Transit
117,GJ 2030 c,12.934,,16.752,Astrometry
118,GJ 273 b,0.00922,,0.091,Radial Velocity
119,GJ 273 c,0.00374,,0.036,Radial Velocity
120,GJ 273 d,0.03448,,0.712,Radial Velocity
121,GJ 273 e,0.0297,,0.849,Radial Velocity
122,GJ 3090 b,0.01051,0.19,0.03165,Primary Transit
123,GJ 3470 b,0.03958,0.37380742940036,0.03557,Primary Transit
124,GJ 3473 b,0.00585,0.11277,0.01589,Primary Transit
125,GJ 357 b,0.006566,0.10411,0.033,Primary Transit
126,GJ 3634 b,0.026,,0.0287,Radial Velocity
127,GJ 367  b,0.00047,0.0526,0.0069,Primary Transit
128,GJ 3929 b,0.00381,0.1026,0.02569,Primary Transit
129,GJ 436 b,0.07,0.38,0.02887,Primary Transit
130,GJ 486 b,0.00887,0.11643,0.01734,Primary Transit
131,GJ 504 b,4.0,0.96,43.5,Imaging
132,GJ 676 A b,6.7,,1.812,Radial Velocity
133,GJ 676 A c,6.8,,6.6,Radial Velocity
134,GJ 876 b,3.6,,0.214,Radial Velocity
135,GJ 876 d,0.021741,,0.021,Radial Velocity
136,GJ 876 e,0.04855,,0.345,Radial Velocity
137,GJ 896A b,2.26,,0.64282,Astrometry
138,GJ 9827 b,0.01532,0.13641,0.01866,Primary Transit
139,GJ 9827 c,0.00604,0.107,0.03896,Primary Transit
140,GJ 9827 d,0.01076,0.17441,0.0555,Primary Transit
141,GPX-1 b,19.7,1.47,0.0338,Primary Transit
142,GQ Lup b,0.013,1.8,32.0,Imaging
143,GSC 6214-210 b,17.0,,320.0,Imaging
144,GU Psc b,11.0,1.35,2000.0,Imaging
145,Gaia-1 b,1.68,1.229,0.04047,Primary Transit
146,Gaia-2 b,0.773,1.327,0.0467,Primary Transit
147,HAT-P-1 b,0.525,1.319,0.05561,Primary Transit
148,HAT-P-10 A b,0.46,1.045,0.0439,Primary Transit
149,HAT-P-11 b,0.0736,0.389,0.053,Primary Transit
150,HAT-P-11 c,2.3,,4.13,Radial Velocity
151,HAT-P-12 b,0.210489884529,0.949,0.0384,Primary Transit
152,HAT-P-13 b,0.85,1.28,0.0426,Primary Transit
153,HAT-P-14 b,2.444,1.01,0.0606,Primary Transit
154,HAT-P-15 b,1.946,1.072,0.0964,Primary Transit
155,HAT-P-16 b,4.193,1.289,0.0413,Primary Transit
156,HAT-P-17 b,0.534,1.01,0.0882,Primary Transit
157,HAT-P-18 b,0.183,0.947,0.0559,Primary Transit
158,HAT-P-19 b,0.292,1.132,0.0466,Primary Transit
159,HAT-P-2 b,8.74,0.951,0.0674,Primary Transit
160,HAT-P-20 b,7.246,0.867,0.0361,Primary Transit
161,HAT-P-21 b,4.063,1.024,0.0494,Primary Transit
162,HAT-P-22 b,2.147,1.08,0.0414,Primary Transit
163,HAT-P-23 b,2.09,1.368,0.0232,Primary Transit
164,HAT-P-24 b,0.685,1.242,0.0465,Primary Transit
165,HAT-P-25 b,0.567,1.19,0.0466,Primary Transit
166,HAT-P-26 b,0.0585,0.5647,0.0479,Primary Transit
167,HAT-P-27 b,0.66,1.055,0.0403,Primary Transit
168,HAT-P-28 b,0.626,1.212,0.0434,Primary Transit
169,HAT-P-29 b,0.778,1.107,0.0667,Primary Transit
170,HAT-P-3 b,0.591,0.827,0.03866,Primary Transit
171,HAT-P-30 b,0.711,1.34,0.0419,Primary Transit
172,HAT-P-31 b,2.171,1.07,0.055,Primary Transit
173,HAT-P-32 b,0.75,1.789,0.03427,Primary Transit
174,HAT-P-33 b,0.763,1.827,0.0503,Primary Transit
175,HAT-P-43 b,0.66,1.283,0.0443,Primary Transit
176,HAT-P-34 b,3.328,1.107,0.0677,Primary Transit
177,HAT-P-35 b,1.054,1.332,0.0498,Primary Transit
178,HAT-P-36 b,1.832,1.264,0.0238,Primary Transit
179,HAT-P-37 b,1.169,1.178,0.0379,Primary Transit
180,HAT-P-38 b,0.267,0.825,0.0523,Primary Transit
